# System 
#####
# KRAS 
Ligand,exp_dg,pred_dg,pred_dg_error
cpd_5,-6.821234703063965,-6.840118885040283,0.1599999964237213
#####
# Cyclin A/B
Ligand,exp_dg,pred_dg,pred_dg_error
cpd_13,-7.760172367095947,-7.44,0.25
cpd_14,-7.52283763885498,-8.57,0.24
cpd_15,-7.9903740882873535,-8.06,0.3
cpd_16,-8.06282901763916,-8.21,0.25
cpd_17,-7.805192470550537,-7.6,0.28
cpd_18,-8.134422302246094,-8.36,0.26
cpd_19,-9.051112174987791,-8.19,0.3
cpd_20,-8.373568534851074,-8.12,0.28
cpd_21,-10.036147117614746,-9.89,0.33
cpd_22,-10.107617378234863,-10.26,0.29
cpd_23,-9.098962783813477,-8.76,0.26
cpd_24,-8.673248291015625,-9.26,0.31
cpd_25,-8.457352638244629,-9.49,0.28
cpd_26,-9.17570972442627,-9.13,0.25
cpd_27,-9.211431503295898,-9.51,0.35
cpd_28,-8.85873031616211,-9.44,0.32
cpd_29,-8.9790620803833,-9.01,0.29
cpd_30,-9.385235786437988,-8.8,0.28
cpd_31,-9.925884246826172,-9.91,0.28
cpd_32,-10.1889066696167,-9.37,0.3
cpd_33,-10.5032958984375,-10.03,0.27
cpd_34,-9.689390182495115,-9.59,0.23
